time,left,mid,right
863,0.99997662436068,0.99991011281775,0.99987859663484
864,0.99997695927186,0.99991140066369,0.99988033602445
865,0.99997728938465,0.9999126700582,0.9998820504932
866,0.99997761476779,0.99991392126563,0.99988374039814
867,0.99997793548905,0.99991515454657,0.99988540609121
868,0.99997825161523,0.99991637015786,0.9998870479193
869,0.99997856321214,0.99991756835264,0.99988866622432
870,0.9999788703447,0.99991874938045,0.99989026134331
871,0.99997917307686,0.99991991348726,0.99989183360845
872,0.99997947147167,0.99992106091549,0.99989338334719
873,0.99997976559127,0.9999221919041,0.99989491088226
874,0.99998005549691,0.99992330668863,0.99989641653179
875,0.99998034124897,0.99992440550125,0.99989790060934
876,0.99998062290695,0.99992548857078,0.99989936342398
877,0.99998090052952,0.99992655612278,0.99990080528034
878,0.9999811741745,0.99992760837959,0.99990222647871
879,0.99998144389886,0.99992864556033,0.99990362731506
880,0.99998170975878,0.99992966788101,0.99990500808113
881,0.99998197180964,0.99993067555454,0.99990636906447
882,0.999982230106,0.99993166879077,0.99990771054851
883,0.99998248470165,0.99993264779654,0.99990903281262
884,0.99998273564962,0.99993361277575,0.99991033613218
885,0.99998298300217,0.99993456392935,0.99991162077862
886,0.99998322681081,0.99993550145543,0.99991288701946
887,0.99998346712631,0.99993642554925,0.99991413511842
888,0.99998370399873,0.99993733640323,0.99991536533541
889,0.99998393747739,0.99993823420709,0.99991657792665
890,0.99998416761092,0.99993911914778,0.99991777314465
891,0.99998439444725,0.99993999140962,0.99991895123834
892,0.9999846180336,0.99994085117424,0.99992011245305
893,0.99998483841656,0.99994169862071,0.99992125703063
894,0.99998505564201,0.99994253392551,0.99992238520943
895,0.9999852697552,0.9999433572626,0.9999234972244
896,0.9999854808007,0.99994416880344,0.99992459330714
897,0.99998568882249,0.99994496871704,0.99992567368591
898,0.99998589386387,0.99994575716999,0.99992673858571
899,0.99998609596754,0.9999465343265,0.9999277882283
900,0.99998629517561,0.9999473003484,0.99992882283229
901,0.99998649152955,0.99994805539524,0.99992984261313
902,0.99998668507026,0.99994879962425,0.99993084778321
903,0.99998687583804,0.99994953319042,0.99993183855185
904,0.99998706387262,0.99995025624652,0.9999328151254
905,0.99998724921316,0.99995096894314,0.99993377770722
906,0.99998743189826,0.9999516714287,0.99993472649779
907,0.99998761196597,0.9999523638495,0.9999356616947
908,0.99998778945378,0.99995304634973,0.99993658349271
909,0.99998796439866,0.99995371907154,0.99993749208378
910,0.99998813683705,0.99995438215503,0.99993838765714
911,0.99998830680484,0.99995503573827,0.99993927039931
912,0.99998847433745,0.9999556799574,0.99994014049411
913,0.99998863946976,0.99995631494657,0.99994099812274
914,0.99998880223615,0.99995694083801,0.99994184346383
915,0.99998896267054,0.99995755776209,0.99994267669341
916,0.99998912080632,0.99995816584728,0.99994349798501
917,0.99998927667643,0.99995876522021,0.99994430750967
918,0.99998943031334,0.9999593560057,0.99994510543598
919,0.99998958174904,0.99995993832681,0.99994589193011
920,0.99998973101506,0.99996051230479,0.99994666715586
921,0.9999898781425,0.99996107805918,0.99994743127467
922,0.99999002316198,0.9999616357078,0.99994818444568
923,0.99999016610373,0.99996218536679,0.99994892682573
924,0.99999030699749,0.99996272715062,0.99994965856944
925,0.99999044587262,0.99996326117212,0.99995037982919
926,0.99999058275803,0.9999637875425,0.9999510907552
927,0.99999071768224,0.99996430637138,0.99995179149552
928,0.99999085067334,0.99996481776682,0.99995248219607
929,0.99999098175903,0.99996532183531,0.99995316300071
930,0.9999911109666,0.99996581868183,0.99995383405122
931,0.99999123832298,0.99996630840985,0.99995449548735
932,0.99999136385467,0.99996679112136,0.99995514744684
933,0.99999148758783,0.99996726691689,0.99995579006548
